image_id,prompt,category
sa_1545075,A yellow flower is in full bloom in the center of the image. There are other buds on the plant at various stages of bloom. ,dci
sa_1545076,A man and a woman are walking along a path that runs through a grassy field.,dci
sa_1545081,"There is a big stone sculpture that is presented in this area that seems to be a tourist attraction. The floor shows a wavy dark and light brown pattern, and on the right side are some people and a globe metal structure erected.",dci
sa_1545082,There is a castle rising out of a forested area. ,dci
sa_1545084,"The front of a boat is visible, and beyond that vast waters, with mountains in the distance.",dci
sa_1545086,There is a house on stilts over the water. There are a lot of plants and clothing hanging to dry.,dci
sa_1545087,A laptop on a table with a phone held up in front of it.,dci
sa_1545089,Open shopping area of Westgate with people walking on the street.,dci
sa_1545090,This is an outdoor walkway and seating area between big buildings. There is seating with umbrellas near the front and people sitting in them. ,dci
sa_1545091,There is a high up view of a bunch of buildings interspersed with greenery. There is a waterway running through it and mountains in the background. ,dci
sa_1545093,"A young white girl runs on a gymnasium floor towards a green hula hoop placed on the ground like a ring to run through, while adults sit in a row of chairs in the background and look on, some filming scenes with their phones.  There are a series of windows behind the adults and light shines through them, and the walls of the room are painted a light lime green color.",dci
sa_1545094,"There is a white wall with a bunch of pink, yellow and orange post it notes going down in rows. They have writing on them. ",dci
sa_1545096,"A modern boat is cutting through the waters, going right towards a sail boat. In the background is a large cruise ship and some small buildings and trees.",dci
sa_1545097,"Two sailboats sailing on a lake, each heading in opposite directions and with multiple people on them.  In the background is a beach and lots of trees with green foliage, and overhead is a blue sky with lots of long horizontal clouds.",dci
sa_1545099,"Most of the picture is water, and there is a structure coming into it. In the background are mountains and a distant shore.",dci
sa_1545100,There is a multi story building with three signs on the top of it.  One of the signs is empty.,dci
sa_1545101,"A set of patio furniture enclosed within a fence. Overlooks a large, open, grassy field with blue skies.",dci
sa_1545105,A bald man and another worker are taking some large work out of a truck. There's another man looking or walking by them with a purple backpack on. ,dci
sa_1545106,"A middle console of a car. There are two seat buckles, two cup holders, and two armrests visible.",dci
sa_1545110,"A woman in black scrubs, and pink tennis shoes is stretching her leg on a wooden fence. She is on a trail lined by a wooden fence, paved sidewalk, grass, and tall pine trees.",dci
sa_1545112,An excavator on the side of the street. The arm has 'HYUNDAI' written on it in white letters.,dci
sa_1545114,It shows an ornate church that is tan with domes and lots of crosses. It is behind a fence. ,dci
sa_1545115,A display is set up in what appears to be a religious building. ,dci
sa_1545116,The photo depicts a parade. Most prominent in the image is a vehicle on which is mounted the head of the statue of liberty inside of which is standing a woman wearing a dark red cape and a crown.,dci
sa_1545117,Is shows a watch on the right and a display with three pictures of the watch on the left. ,dci
sa_1545119,It is a wide room on the inside of a building with a glass top. There are various people milling about. ,dci
sa_1545120,"A large pipe system is being installed in the ground. There are three men working at the moment, and the new piece is a bright blue color.",dci
sa_1545121,Two children are standing on side by side on the same step of an outdoor staircase. To the left and behind the boys is a woman with a purse under her right arm. ,dci
sa_1545124,It shows a covered bridge that is very weathered and has a lot of windows over a wide river and under a cloudy gray sky. ,dci
sa_1545126,"A large stone building, with the street full of parked cars on a bright sunny day.",dci
sa_1545127,A person wearing a blue jacket is following other people as they ride motorcycles through the snow near a mountain range.,dci
sa_1545130,It is a black and white picture of a bridge over the water leading to a modern city-scape.,dci
sa_1545131,There is a white boat coming onto shore.  A ladder is coming from the boat into the shallow end of the water and there are many people in the water as well as one in the water.,dci
sa_1545132,"A postage stamp in Russian language worth 32 of some currency. There is an image of a purple flower, a green leafy plant, and a flying bee.",dci
sa_1545134,There is a wooden gazebo with an Asian type roof in a wooded area.  There are mountains in the background.,dci
sa_1545135,Red flowers hang from a tree branch. There are other trees branches throughout the image. ,dci
sa_1545137,A busy bustling scene on a busy day at the historical Brandenburg Gate in Berlin.,dci
sa_1545142,"A cup holding coffee that has a flower design ""drawn"" in it.",dci
sa_1545144,A sail boat sits on the water next to a dock. There are boats in the background and people standing on the dock. ,dci
sa_1545146,This is an older looking historical building that has a red flag on the top of it.  There are trees in front of the building.,dci
sa_1545149,A group of boats float on the water at a dock. In the background is a bridge with a raiseable road section. ,dci
sa_1545152,There are three men who appear to be soldiers standing outside holding a lot of equipment. ,dci
sa_1545155,A screaming face of a devil with four or so horns. It appears to just be on one side due to the lack of extra details on the other side of the pole.,dci
sa_1545156,overview of a city with a river going through it with many visible landmarks.,dci
sa_1545157,"It shows the machine to check bags at security. There are two workers to the left of it, one sitting and one standing. ",dci
sa_1545158,A group of large ornamental bonsai trees in a parking lot.  Behind them is a beige stone wall and then some houses.,dci
sa_1545159,Two glass beer mugs filled with beer sit on a table. The mugs have black lettering spelling out Asahi on them. The table is a light colored wood. In the background is a wall with a large red stripe with a narrow yellow stripe on top of it. ,dci
sa_1545161,A stamp with the title of Turkiye Cumhuriyeti. The middle is a flowery decoration with a blue background while the outer sides are white.,dci
sa_1545162,It shows a man working on a wood table. There is another man behind him working on a green banner and they are in a forested area. ,dci
sa_1545164,The photo depicts two figurines of people. The figurines are lit from inside so that they function as lamps. Each is holding a rod from which hangs an lamp in the shape of a 3-dimensional rectangle. Behind them is a body of water and buildings. It is dark out. ,dci
sa_1545165,A boat with bicycles and people on it floating down a river.,dci
sa_1545169,This is a white airplane with a blue and yellow tail on a small landing strip.  There are some trees in the background.,dci
sa_1545172,"Two pairs of two people, all wearing masks, with the two in the front raising their right fists into the air.  Behind them is a tall wooden fence with a sign on it, some green trees and bushes, and a house.",dci
sa_1545174,Fireworks are exploding in the night sky near a river where there are lights surrounding the waterway.,dci
sa_1545176,People are marching together in a parade of some sort.  Some of the people are holding signs in the air.,dci
sa_1545178,A cityscape with many advertisements on the sides of buildings. There is an elevated crosswalk that has a group of people walking on it. ,dci
sa_1545179,Some students are sitting at desks doing work.,dci
sa_1545180,A street is lined with a number of buildings and market stalls. There are people walking around and several people riding motorbikes. ,dci
sa_1545181,Marble floor with red accent border.,dci
sa_1545184,People outside in the winter enjoying a outdoor concert.,dci
sa_1545190,A large ancient Colosseum with detailed carvings and a big arch in the center.,dci
sa_1545191,"A grey brick plaza in a city that has a line of parked cars in it.  Surrounding it on three sides are old, light-colored buildings with lots of windows and curved, decorated tops.",dci
sa_1545192,A gray Toyota Tundra pickup truck is parked on a curb. ,dci
sa_1545194,Two people work together to butcher an animal on a blue tarp outside of a building.,dci
sa_1545197,Soldiers in a forest watching across from them.,dci
sa_1545198,People walking a street browsing at the different stores.,dci
sa_1545203,People stand and visit with each other on the side of a poorer looking street in a city.,dci
sa_1545204,"Part of the facade of a fashion store with a big storefront signage reading ""CAROLL"". Only the upper part of the storefront windows is visible.",dci
sa_1545205,Multiple mannequin human figures dressed in middle eastern clothes on a small elevated platform in what appears to be either a museum or some other official building. One of the figures is riding a camel. ,dci
sa_1545206,A modern city sidewalk with numerous businesses on both sides.,dci
sa_1545207,This is a wooden fence near a wooded area.  The fence has a white and yellow sticker on it and is attached with silver hardware.,dci
sa_1545208,It is the frame for a roller coaster. It is pink and white. ,dci
sa_1545210,"A bright blue passenger train heading down a track, entering a station.  In the background are some green trees and yellow buildings",dci
sa_1545211,A horse drawn carriage is waiting on the street. The background is mostly buildings.,dci
sa_1545215,This image is of a one lane brick street tunnel.   The road has double yellow lines on both sides.   There are cars on the left side of the street and apartment buildings lining both sides of the street. ,dci
sa_1545218,Some athletes are rappelling down the sides of skyscrapers.,dci
sa_1545223,A black and white building rises above the surrounding buildings. In the background is a mountain covered in trees. ,dci
sa_1545224,This is four tiles together which come together to form a blue floral pattern.,dci
sa_1545227,"Here we see a grand hallway inside a religious building made from tile and marble, with arching ceilings, leading to a room under a small red arch. The hallway has 12 or so pillars, and the colors of the tile and marble range from bronze and gold.",dci
sa_1545232,People walk up to a traditional Japanese-styled building.  There are trees surrounding the building and smaller structure in front of it. ,dci
sa_1545233,A small helicopter hovers over a dirt field. There are people and cars in the area. ,dci
sa_1545237,Two women wearing masks walking and talking together.,dci
sa_1545238,The image presents an greenhouse conservation with a fountain down the center with colorful flowers on each end. The fountain includes a statue of a man. There are people in the background. ,dci
sa_1545239,A person is tracing the words that are written in a book with a yellow cover using their left hand.,dci
sa_1545241,A hallway with stores on the left and right sides. People are walking through the middle. ,dci
sa_1545242,Three vehicles travel down an otherwise empty street. There are trees and a building in the background. ,dci
sa_1545247,This is a building that is made out of brick material.  The building is standing on the corner of a city street.,dci
sa_1545252,"A black and white image of the outside of a large two story building, it is in front of a two lane street.  There are people walking in front of it and motorcycles are leaning on the side of the building. ",dci
sa_1545254,A young woman in a gray top. She has her hair pulled back. There appear to be several other people in the background.,dci
sa_1545255,This looks like a pile of rocks on top of a rock wall.  But it may also be a landmark.,dci
sa_1545258,The inside of a basilica.  The room contains an alter with decorative sculptures and stained glass windows.,dci
sa_1545260,It shows two people in blue outfits pulling a hose to a row of pink porta-potties.,dci
sa_1545261,A wide sidewalk with pedestrians walking past a row of buildings on the right and busy street on the left.  The sky is overcast and gloomy.,dci
sa_1545262,A man is riding/balancing his 4-wheeler on the two left-side wheels. There is a crowd of people in the background.,dci
sa_1545268,It shows a street with a big blue triple bus in front of a huge building.,dci
sa_1545271,Long multi-gate walkway area with a stone path to a place in the distance.,dci
sa_1545272,Two green camouflage pattern helicopters parked on a tarmac. The sky is a bright blue with a few whisppy clouds.,dci
sa_1545274,"A soft, muted sunset is showcased above the mountains.",dci
sa_1545275,An airplane sits on the tarmac at an airport. There are two yellow tubes attached to its underbelly. ,dci
sa_1545276,A man wearing a military uniform while sitting on a park bench next to a woman wearing a long brown coat.,dci
sa_1545277,A group of boats float on the water during low light.  Buildings can be seen in the background. ,dci
sa_1545278,A green store front with books in the window display.,dci
sa_1545281,"A well-dressed businessman in a suit and scarf, with a yellow and burgundy chair and Gatorade logo in the background. ",dci
sa_1545282,A row of self service machines are lined up side by side with just some pillars separating them. The machines are mostly silver with a red frame around the top and right.,dci
sa_1545283,"This image is a close up of a red and white lifesaving device on a dock.   You can see docks, water and building out of focus behind the floatation device.  ",dci
sa_1545284,Castle hotel under a blue sky across a bridge over a body of water.,dci
sa_1545285,There is an open area with a fountain.  In the middle of the fountain is some kind of decorative ball.,dci
sa_1545286,"Many colorful bowls are arraigned on a flat surface. Two large plates are at the center, with the left plate containing many small bowls. ",dci
sa_1545287,A young woman wearing a military uniform.  She has blonde hair that is tied back in a braid.,dci
sa_1545289,there is an unkempt brown grassy area through the broken window of an abandoned house. the wood of the window frame is rotting and stripped of paint.,dci
sa_1545290,A red mountain cable car going up against a backdrop of mountains.,dci
sa_1545291,People are walking down a street lined with buildings on either sign.  There is a trolley track in the middle of the street.,dci
sa_1545294,A man with long hair is in the process of playing an electric guitar.  ,dci
sa_1545295,Two people are standing close to each other. They are both looking at a phone.,dci
sa_1545297,"This image contains three 36 Shop drink vending machines at the start of a ski slope.   Each drink machine is a different color, red, white and blue, and contains different drinks which are viewable through glass on the front of the drink machine. ",dci
sa_1545299,A group of people exit through the doors of a building. ,dci
sa_1545300,a group of African men wearing robes stand next to each other under a tree. ,dci
sa_1545302,A man with a backpack is walking up a set of ornate stairs while a woman walks down in the opposite direction. There are hanging lights that line the staircase.,dci
sa_1545306,Tourists are shopping in an open-air market.,dci
sa_1545307,An area made up of moss covered stone walls. It looks like a courtyard area of a castle. ,dci
sa_1545309,"The area has a clear sunny day and is in a very busy city that has a very big arch-monument in the center, with a lot of people walking and interacting in the foreground. We see trees and a big office building in the far left.",dci
sa_1545310,Clouds float through a blue sky with sunlight beaming down. ,dci
sa_1545311,A festive parade. There is a marching band in front. Four mascots can be seen walking in the parade. There are trees in the background.,dci
sa_1545312,A person holding colorful designed money.,dci
sa_1545313,Seven white boats sit on a lake with brown-orange cliffs in the background.,dci
sa_1545314,There is a pool on the left side. There are plants taking up the background.,dci
sa_1545316,A gas station painted blue with white fuel pumps to its right.,dci
sa_1545320,A girl is getting a shot.,dci
sa_1545321,The front of a large white church building. It has religious figures painted in some spots on its side. ,dci
sa_1545322,A scenic view of the ocean on a sunny day and homes or buildings that are next to the water. There are lush green trees sprinkled throughout the landscape.,dci
sa_1545323,A large ship sits in the water pulling another ship. Buildings and vehicles are in the background.,dci
sa_1545325,"The location is an interior of what looks like an Indian building, with colorful stained glass windows, red carpet, and multi-colored pillows. The paint of the walls is white, and the ceiling has a reflective design that also have some golden elements. ",dci
sa_1545326,"Shrine with black background statue, flowers, candles, and wrapped fruit. ",dci
sa_1545327,A view of a street from down low. There are various buildings and people all around.,dci
sa_1545331,A group of snowboarders stand around in a seating area. Snow is actively falling. ,dci
sa_1545332,"The location is in a building in ruins, with residential houses in the background. The day is overcast with a lot of clouds in the area as well as towering mountains in the background.",dci
sa_1545333,three professional bicyclists pose for photos after a race at the winners presentation. The two bicyclists on opposite ends are holding up flowers. ,dci
sa_1545334,"The location features a Roman amphitheater in ruins, with various office and historical buildings in the background. The sky is bright and clear, with clouds present in the area.",dci
sa_1545338,"there is a spider lily featured prominently in the center in the center, facing forward. three more spider lilies are visible behind it facing the opposite direction. ",dci
sa_1545339,A postage stamp that depicts two men on the left and has wording on the right. ,dci
sa_1545340,Barbeque plates are prepared for take out.,dci
sa_1545341,"A plane with the front of it facing east/right and sitting at a location, possibly an airport, with the sun behind the tail. It appears to be turned off and there is a small structure to the right of it and ladder behind it.",dci
sa_1545343,Three soldiers are walking down a sidewalk.  There are 10 other people wearing hot weather clothing.,dci
sa_1545344,"Women  in sandals, blue jeans, and black shirt wearing a mask outside a dilapidated brown building entrance.",dci
sa_1545345,Graves stand with crosses on the top of them in a small cemetery bounded by a black fence.  There are trees growing in the area as well.,dci
sa_1545346,The room appears to be a medieval torture museum complete with a large torture table in the center. The room looks like a cell and a woman is posing to the left of the table. ,dci
sa_1545349,This is a white van that is parked near a building with a roof with a brown roof on it.,dci
sa_1545351,There are yellow and pink flowers growing in front of a large yellow building.  The sky over the building looks ominous.,dci
sa_1545353,A large crowd of people sitting in the dirt with chickens of varying color.,dci
